Id;Station;Lon;Lat;Type Data;Année;M;J;DATA
168;ES SENIA;-0.625;35.75;SWGDN;1980;6;16;8715.83
169;ES SENIA;-0.625;35.75;SWGDN;1980;6;17;8744.239
170;ES SENIA;-0.625;35.75;SWGDN;1980;6;18;8644.676
171;ES SENIA;-0.625;35.75;SWGDN;1980;6;19;8632.39
172;ES SENIA;-0.625;35.75;SWGDN;1980;6;20;6886.5938
173;ES SENIA;-0.625;35.75;SWGDN;1980;6;21;8423.328
174;ES SENIA;-0.625;35.75;SWGDN;1980;6;22;8670.634
175;ES SENIA;-0.625;35.75;SWGDN;1980;6;23;8774.754
176;ES SENIA;-0.625;35.75;SWGDN;1980;6;24;8802.916
177;ES SENIA;-0.625;35.75;SWGDN;1980;6;25;8811.342
178;ES SENIA;-0.625;35.75;SWGDN;1980;6;26;8705.148
179;ES SENIA;-0.625;35.75;SWGDN;1980;6;27;8206.873
180;ES SENIA;-0.625;35.75;SWGDN;1980;6;28;8808.969
181;ES SENIA;-0.625;35.75;SWGDN;1980;6;29;8880.612
182;ES SENIA;-0.625;35.75;SWGDN;1980;6;30;7388.7266
183;ES SENIA;-0.625;35.75;SWGDN;1980;7;1;7863.5093
184;ES SENIA;-0.625;35.75;SWGDN;1980;7;2;8441.835
185;ES SENIA;-0.625;35.75;SWGDN;1980;7;3;8588.467
186;ES SENIA;-0.625;35.75;SWGDN;1980;7;4;8618.468
187;ES SENIA;-0.625;35.75;SWGDN;1980;7;5;7993.831
188;ES SENIA;-0.625;35.75;SWGDN;1980;7;6;8686.949
189;ES SENIA;-0.625;35.75;SWGDN;1980;7;7;8579.716
190;ES SENIA;-0.625;35.75;SWGDN;1980;7;8;8245.621
191;ES SENIA;-0.625;35.75;SWGDN;1980;7;9;7895.362
192;ES SENIA;-0.625;35.75;SWGDN;1980;7;10;8472.099
193;ES SENIA;-0.625;35.75;SWGDN;1980;7;11;8706.346
194;ES SENIA;-0.625;35.75;SWGDN;1980;7;12;8725.231
195;ES SENIA;-0.625;35.75;SWGDN;1980;7;13;8334.715
196;ES SENIA;-0.625;35.75;SWGDN;1980;7;14;8113.2373
197;ES SENIA;-0.625;35.75;SWGDN;1980;7;15;8109.2803
198;ES SENIA;-0.625;35.75;SWGDN;1980;7;16;6977.1353
199;ES SENIA;-0.625;35.75;SWGDN;1980;7;17;8197.562
200;ES SENIA;-0.625;35.75;SWGDN;1980;7;18;8643.815
201;ES SENIA;-0.625;35.75;SWGDN;1980;7;19;8423.211
202;ES SENIA;-0.625;35.75;SWGDN;1980;7;20;8544.631
203;ES SENIA;-0.625;35.75;SWGDN;1980;7;21;8338.87
204;ES SENIA;-0.625;35.75;SWGDN;1980;7;22;8336.222
205;ES SENIA;-0.625;35.75;SWGDN;1980;7;23;8080.3584
206;ES SENIA;-0.625;35.75;SWGDN;1980;7;24;8047.262
207;ES SENIA;-0.625;35.75;SWGDN;1980;7;25;8385.469
208;ES SENIA;-0.625;35.75;SWGDN;1980;7;26;8384.367
209;ES SENIA;-0.625;35.75;SWGDN;1980;7;27;8053.9395
210;ES SENIA;-0.625;35.75;SWGDN;1980;7;28;7474.3394
211;ES SENIA;-0.625;35.75;SWGDN;1980;7;29;8040.361
212;ES SENIA;-0.625;35.75;SWGDN;1980;7;30;7269.172
213;ES SENIA;-0.625;35.75;SWGDN;1980;7;31;6550.961
214;ES SENIA;-0.625;35.75;SWGDN;1980;8;1;6928.5664
215;ES SENIA;-0.625;35.75;SWGDN;1980;8;2;7140.0938
216;ES SENIA;-0.625;35.75;SWGDN;1980;8;3;7153.6094
217;ES SENIA;-0.625;35.75;SWGDN;1980;8;4;6967.8984
218;ES SENIA;-0.625;35.75;SWGDN;1980;8;5;7615.086
219;ES SENIA;-0.625;35.75;SWGDN;1980;8;6;7880.625
220;ES SENIA;-0.625;35.75;SWGDN;1980;8;7;7829.1406
221;ES SENIA;-0.625;35.75;SWGDN;1980;8;8;8057.172
222;ES SENIA;-0.625;35.75;SWGDN;1980;8;9;7684.3555
223;ES SENIA;-0.625;35.75;SWGDN;1980;8;10;7615.9414
224;ES SENIA;-0.625;35.75;SWGDN;1980;8;11;7665.086
225;ES SENIA;-0.625;35.75;SWGDN;1980;8;12;7848.2734
226;ES SENIA;-0.625;35.75;SWGDN;1980;8;13;7751.2305
227;ES SENIA;-0.625;35.75;SWGDN;1980;8;14;7489.957
228;ES SENIA;-0.625;35.75;SWGDN;1980;8;15;7150.211
229;ES SENIA;-0.625;35.75;SWGDN;1980;8;16;7493.6523
230;ES SENIA;-0.625;35.75;SWGDN;1980;8;17;7735.3945
231;ES SENIA;-0.625;35.75;SWGDN;1980;8;18;7544.449
232;ES SENIA;-0.625;35.75;SWGDN;1980;8;19;3495.4053
233;ES SENIA;-0.625;35.75;SWGDN;1980;8;20;5251.426
234;ES SENIA;-0.625;35.75;SWGDN;1980;8;21;6725.449
235;ES SENIA;-0.625;35.75;SWGDN;1980;8;22;5346.955
236;ES SENIA;-0.625;35.75;SWGDN;1980;8;23;6239.58
237;ES SENIA;-0.625;35.75;SWGDN;1980;8;24;6714.7305
238;ES SENIA;-0.625;35.75;SWGDN;1980;8;25;6217.2427
239;ES SENIA;-0.625;35.75;SWGDN;1980;8;26;4274.92
240;ES SENIA;-0.625;35.75;SWGDN;1980;8;27;6185.3633
241;ES SENIA;-0.625;35.75;SWGDN;1980;8;28;7198.875
242;ES SENIA;-0.625;35.75;SWGDN;1980;8;29;7228.367
243;ES SENIA;-0.625;35.75;SWGDN;1980;8;30;7312.51
244;ES SENIA;-0.625;35.75;SWGDN;1980;8;31;7206.453
245;ES SENIA;-0.625;35.75;SWGDN;1980;9;1;6937.492
246;ES SENIA;-0.625;35.75;SWGDN;1980;9;2;4141.39
247;ES SENIA;-0.625;35.75;SWGDN;1980;9;3;4603.384
248;ES SENIA;-0.625;35.75;SWGDN;1980;9;4;5208.9644
249;ES SENIA;-0.625;35.75;SWGDN;1980;9;5;5183.458
250;ES SENIA;-0.625;35.75;SWGDN;1980;9;6;5794.4053
251;ES SENIA;-0.625;35.75;SWGDN;1980;9;7;6020.4966
252;ES SENIA;-0.625;35.75;SWGDN;1980;9;8;4514.863
253;ES SENIA;-0.625;35.75;SWGDN;1980;9;9;2798.8054
254;ES SENIA;-0.625;35.75;SWGDN;1980;9;10;4527.5454
255;ES SENIA;-0.625;35.75;SWGDN;1980;9;11;6357.686
256;ES SENIA;-0.625;35.75;SWGDN;1980;9;12;6606.329
257;ES SENIA;-0.625;35.75;SWGDN;1980;9;13;5738.502
258;ES SENIA;-0.625;35.75;SWGDN;1980;9;14;4549.71
259;ES SENIA;-0.625;35.75;SWGDN;1980;9;15;5965.012
260;ES SENIA;-0.625;35.75;SWGDN;1980;9;16;5644.1177
261;ES SENIA;-0.625;35.75;SWGDN;1980;9;17;5397.2993
262;ES SENIA;-0.625;35.75;SWGDN;1980;9;18;4589.556
263;ES SENIA;-0.625;35.75;SWGDN;1980;9;19;5347.807
264;ES SENIA;-0.625;35.75;SWGDN;1980;9;20;5055.2065
265;ES SENIA;-0.625;35.75;SWGDN;1980;9;21;5275.7817
266;ES SENIA;-0.625;35.75;SWGDN;1980;9;22;4319.354
267;ES SENIA;-0.625;35.75;SWGDN;1980;9;23;3183.3142
268;ES SENIA;-0.625;35.75;SWGDN;1980;9;24;2962.0466
269;ES SENIA;-0.625;35.75;SWGDN;1980;9;25;5227.792
270;ES SENIA;-0.625;35.75;SWGDN;1980;9;26;5204.9453
271;ES SENIA;-0.625;35.75;SWGDN;1980;9;27;4604.0547
272;ES SENIA;-0.625;35.75;SWGDN;1980;9;28;2396.5664
273;ES SENIA;-0.625;35.75;SWGDN;1980;9;29;5009.336
274;ES SENIA;-0.625;35.75;SWGDN;1980;9;30;5058.3984
275;ES SENIA;-0.625;35.75;SWGDN;1980;10;1;5716.25
276;ES SENIA;-0.625;35.75;SWGDN;1980;10;2;5729.133
277;ES SENIA;-0.625;35.75;SWGDN;1980;10;3;5528.3984
278;ES SENIA;-0.625;35.75;SWGDN;1980;10;4;4629.0273
279;ES SENIA;-0.625;35.75;SWGDN;1980;10;5;3817.0293
280;ES SENIA;-0.625;35.75;SWGDN;1980;10;6;1845.8477
281;ES SENIA;-0.625;35.75;SWGDN;1980;10;7;5228.2188
282;ES SENIA;-0.625;35.75;SWGDN;1980;10;8;5124.547
283;ES SENIA;-0.625;35.75;SWGDN;1980;10;9;4928.449
284;ES SENIA;-0.625;35.75;SWGDN;1980;10;10;5353.3945
285;ES SENIA;-0.625;35.75;SWGDN;1980;10;11;5276.871
286;ES SENIA;-0.625;35.75;SWGDN;1980;10;12;5238.4805
